01, 29.5
02, 31.125
03, 31.75
04, 29.5
05, 25.6875
06, 29.125
07, 28.25
08, 25.15625
09, 34.25
10, 23.5
11, 24.625
13, 28.125
14, 22.40625
15, 28.75
16, 30.75
17, 34.0
19, 26.75
20, 28.0
21, 22.25
22, 30.25
23, 28.375
24, 28.875
25, 29.25
26, 28.25
27, 29.125
28, 34.0
29, 22.53125
30, 28.125
31, 27.875
32, 26.875
33, 35.0
34, 20.0
35, 28.25
36, 25.0625
37, 30.25
38, 27.75
39, 30.0
40, 26.875
41, 29.875
42, 23.125
43, 31.5
44, 25.40625
45, 26.4375
46, 18.4375
47, 21.25
48, 24.625
49, 15.8125
50, 26.875
51, 23.375
52, 26.28125
53, 27.0
54, 23.65625
