01, 28.75
02, 10.25
03, 26.1875
04, 31.6875
05, 17.25
06, 13.5
07, 20.875
08, 23.125
09, 28.1875
10, 25.0625
11, 40.5
13, 35.375
14, 7.6875
15, 22.875
16, 29.5625
17, 25.8125
19, 13.875
20, 21.75
21, 11.375
22, 20.125
23, 26.5625
24, 27.6875
25, 28.5625
26, 18.1875
27, 14.5625
28, 40.0625
29, 42.375
30, 32.6875
31, 26.75
32, 28.875
33, 58.25
34, 25.0625
35, 26.125
36, 19.1875
37, 18.0625
38, 20.1875
39, 23.5625
40, 24.6875
41, 25.375
42, 37.875
44, 33.0
45, 23.875
48, 17.625
50, 26.0625
51, 30.6875
52, 30.25
53, 34.9375
54, 13.5
